City,Max Irradiance (W/m2),Mean Irradiance (W/m2),PV Price (USD/kW),BESS Price (USD/kWh),BESS Size (kWh),Fuel Price,Load Shedding (%),Renewable Rate (%),LCOE (USD/kWh)
"Cologne,Germany",1.1018299999999999,0.14966543036529684,0,0,0,2.5,0.0,0.0,0.903
"Amsterdam,Netherlands",1.09328,0.1470661335616438,0,0,0,1.5,0.0,0.0,0.663
"Amsterdam,Netherlands",1.09328,0.1470661335616438,0,0,0,2.0,0.0,0.0,0.783
"Amsterdam,Netherlands",1.09328,0.1470661335616438,0,0,0,2.5,0.0,0.0,0.903
"Bucharest,Romania",1.09899,0.1958415194063927,0,0,0,1.5,0.0,0.0,0.663
"Bucharest,Romania",1.09899,0.1958415194063927,0,0,0,2.0,0.0,0.0,0.783
"Bucharest,Romania",1.09899,0.1958415194063927,0,0,0,2.5,0.0,0.0,0.903
"Valencia,Spain",1.1321700000000001,0.2541233002283105,0,0,0,1.5,0.0,0.0,0.663
"Valencia,Spain",1.1321700000000001,0.2541233002283105,0,0,0,2.0,0.0,0.0,0.783
"Valencia,Spain",1.1321700000000001,0.2541233002283105,0,0,0,2.5,0.0,0.0,0.903
"Kraków,Poland",1.09509,0.15239066324200912,0,0,0,1.5,0.0,0.0,0.663
"Kraków,Poland",1.09509,0.15239066324200912,0,0,0,2.0,0.0,0.0,0.783
"Kraków,Poland",1.09509,0.15239066324200912,0,0,0,2.5,0.0,0.0,0.903
"Sevilla,Spain",1.13867,0.25895107534246575,0,0,0,1.5,0.0,0.0,0.663
"Sevilla,Spain",1.13867,0.25895107534246575,0,0,0,2.0,0.0,0.0,0.783
"Sevilla,Spain",1.13867,0.25895107534246575,0,0,0,2.5,0.0,0.0,0.903
"Zurich,Switzerland",1.10872,0.16771982648401826,0,0,0,1.5,0.0,0.0,0.663
"Zurich,Switzerland",1.10872,0.16771982648401826,0,0,0,2.0,0.0,0.0,0.783
"Zurich,Switzerland",1.10872,0.16771982648401826,0,0,0,2.5,0.0,0.0,0.903
"Düsseldorf,Germany",1.07997,0.14915668835616439,0,0,0,1.5,0.0,0.0,0.663
"Düsseldorf,Germany",1.07997,0.14915668835616439,0,0,0,2.0,0.0,0.0,0.783
"Düsseldorf,Germany",1.07997,0.14915668835616439,0,0,0,2.5,0.0,0.0,0.903
"Dortmund,Germany",1.07747,0.14503970547945205,0,0,0,1.5,0.0,0.0,0.663
"Dortmund,Germany",1.07747,0.14503970547945205,0,0,0,2.0,0.0,0.0,0.783
"Dortmund,Germany",1.07747,0.14503970547945205,0,0,0,2.5,0.0,0.0,0.903
"Palermo,Italy",1.0777999999999999,0.22981436757990867,0,0,0,1.5,0.0,0.0,0.663
"Palermo,Italy",1.0777999999999999,0.22981436757990867,0,0,0,2.0,0.0,0.0,0.783
"Palermo,Italy",1.0777999999999999,0.22981436757990867,0,0,0,2.5,0.0,0.0,0.903
"Marseille,France",1.11368,0.24003602511415525,0,0,0,1.5,0.0,0.0,0.663
"Marseille,France",1.11368,0.24003602511415525,0,0,0,2.0,0.0,0.0,0.783
"Marseille,France",1.11368,0.24003602511415525,0,0,0,2.5,0.0,0.0,0.903
"Helsinki,Finland",1.08262,0.1497054589041096,0,0,0,1.5,0.0,0.0,0.663
"Helsinki,Finland",1.08262,0.1497054589041096,0,0,0,2.0,0.0,0.0,0.783
"Helsinki,Finland",1.08262,0.1497054589041096,0,0,0,2.5,0.0,0.0,0.903
"Antwerp,Belgium",1.0860699999999999,0.14758225456621007,0,0,0,1.5,0.0,0.0,0.663
"Antwerp,Belgium",1.0860699999999999,0.14758225456621007,0,0,0,2.0,0.0,0.0,0.783
"Antwerp,Belgium",1.0860699999999999,0.14758225456621007,0,0,0,2.5,0.0,0.0,0.903
"Gothenburg,Sweden",1.09452,0.13722986301369863,0,0,0,1.5,0.0,0.0,0.663
"Gothenburg,Sweden",1.09452,0.13722986301369863,0,0,0,2.0,0.0,0.0,0.783
"Gothenburg,Sweden",1.09452,0.13722986301369863,0,0,0,2.5,0.0,0.0,0.903
"Porto,Portugal",1.122,0.22216091894977166,0,0,0,1.5,0.0,0.0,0.663
"Porto,Portugal",1.122,0.22216091894977166,0,0,0,2.0,0.0,0.0,0.783
"Porto,Portugal",1.122,0.22216091894977166,0,0,0,2.5,0.0,0.0,0.903
"Liverpool,United Kingdom",1.08459,0.14068338926940638,0,0,0,1.5,0.0,0.0,0.663
"Liverpool,United Kingdom",1.08459,0.14068338926940638,0,0,0,2.0,0.0,0.0,0.783
"Liverpool,United Kingdom",1.08459,0.14068338926940638,0,0,0,2.5,0.0,0.0,0.903
"Toulouse,France",1.12822,0.19399306392694066,0,0,0,1.5,0.0,0.0,0.663
"Toulouse,France",1.12822,0.19399306392694066,0,0,0,2.0,0.0,0.0,0.783
"Toulouse,France",1.12822,0.19399306392694066,0,0,0,2.5,0.0,0.0,0.903
"Granada,Spain",1.15229,0.25846049771689494,0,0,0,1.5,0.0,0.0,0.663
"Granada,Spain",1.15229,0.25846049771689494,0,0,0,2.0,0.0,0.0,0.783
"Granada,Spain",1.15229,0.25846049771689494,0,0,0,2.5,0.0,0.0,0.903
"Bologna,Italy",1.09131,0.20758813013698632,0,0,0,1.5,0.0,0.0,0.663
"Bologna,Italy",1.09131,0.20758813013698632,0,0,0,2.0,0.0,0.0,0.783
"Bologna,Italy",1.09131,0.20758813013698632,0,0,0,2.5,0.0,0.0,0.903
"Gdańsk,Poland",1.08538,0.15008059360730594,0,0,0,1.5,0.0,0.0,0.663
"Gdańsk,Poland",1.08538,0.15008059360730594,0,0,0,2.0,0.0,0.0,0.783
"Gdańsk,Poland",1.08538,0.15008059360730594,0,0,0,2.5,0.0,0.0,0.903
"Lviv,Ukraine",1.12052,0.1548654189497717,0,0,0,1.5,0.0,0.0,0.663
"Lviv,Ukraine",1.12052,0.1548654189497717,0,0,0,2.0,0.0,0.0,0.783
"Lviv,Ukraine",1.12052,0.1548654189497717,0,0,0,2.5,0.0,0.0,0.903
"Wrocław,Poland",1.0762,0.15012474657534247,0,0,0,1.5,0.0,0.0,0.663
"Wrocław,Poland",1.0762,0.15012474657534247,0,0,0,2.0,0.0,0.0,0.783
"Wrocław,Poland",1.0762,0.15012474657534247,0,0,0,2.5,0.0,0.0,0.903
"Vilnius,Lithuania",1.08446,0.14623298401826482,0,0,0,1.5,0.0,0.0,0.663
"Vilnius,Lithuania",1.08446,0.14623298401826482,0,0,0,2.0,0.0,0.0,0.783
"Vilnius,Lithuania",1.08446,0.14623298401826482,0,0,0,2.5,0.0,0.0,0.903
"Riga,Latvia",1.09746,0.13973333105022834,0,0,0,1.5,0.0,0.0,0.663
"Riga,Latvia",1.09746,0.13973333105022834,0,0,0,2.0,0.0,0.0,0.783
"Riga,Latvia",1.09746,0.13973333105022834,0,0,0,2.5,0.0,0.0,0.903
"Frankfurt am Main,Germany",1.11129,0.15465745319634702,0,0,0,1.5,0.0,0.0,0.663
"Frankfurt am Main,Germany",1.11129,0.15465745319634702,0,0,0,2.0,0.0,0.0,0.783
"Frankfurt am Main,Germany",1.11129,0.15465745319634702,0,0,0,2.5,0.0,0.0,0.903
"Stuttgart,Germany",1.1143800000000001,0.1607608116438356,0,0,0,1.5,0.0,0.0,0.663
"Stuttgart,Germany",1.1143800000000001,0.1607608116438356,0,0,0,2.0,0.0,0.0,0.783
"Stuttgart,Germany",1.1143800000000001,0.1607608116438356,0,0,0,2.5,0.0,0.0,0.903
"Essen,Germany",1.07118,0.14618595890410957,0,0,0,1.5,0.0,0.0,0.663
"Essen,Germany",1.07118,0.14618595890410957,0,0,0,2.0,0.0,0.0,0.783
"Essen,Germany",1.07118,0.14618595890410957,0,0,0,2.5,0.0,0.0,0.903
"Leeds,United Kingdom",1.07347,0.13649725,0,0,0,1.5,0.0,0.0,0.663
"Leeds,United Kingdom",1.07347,0.13649725,0,0,0,2.0,0.0,0.0,0.783
"Leeds,United Kingdom",1.07347,0.13649725,0,0,0,2.5,0.0,0.0,0.903
"Glasgow,United Kingdom",1.0664500000000001,0.1256859200913242,0,0,0,1.5,0.0,0.0,0.663
"Glasgow,United Kingdom",1.0664500000000001,0.1256859200913242,0,0,0,2.0,0.0,0.0,0.783
"Glasgow,United Kingdom",1.0664500000000001,0.1256859200913242,0,0,0,2.5,0.0,0.0,0.903
